_id,current,energy,frequency,metadata.sensorId,power,powerFactor,timestamp,voltage
661a2c305d4d6f41c3b408cf,0,0,50,asfas3242d2,0,0,2024-04-13T12:24:34.000Z,230.3000031
661a2c315d4d6f41c3b408d0,0,0,50,asfas3242d2,0,0,2024-04-13T12:24:35.000Z,230.3999939
661a2c325d4d6f41c3b408d1,0,0,50,asfas3242d2,0,0,2024-04-13T12:24:36.000Z,230.3000031
661a2c325d4d6f41c3b408d2,0,0,50,asfas3242d2,0,0,2024-04-13T12:24:37.000Z,230.1999969
661a2c325d4d6f41c3b408d3,0,0,50,asfas3242d2,0,0,2024-04-13T12:24:38.000Z,230.1999969
661a2c325d4d6f41c3b408d4,0,0,50,asfas3242d2,0,0,2024-04-13T12:24:39.000Z,230
661a2c325d4d6f41c3b408d5,0,0,50,asfas3242d2,0,0,2024-04-13T12:24:40.000Z,230.1999969
661a2c325d4d6f41c3b408d6,0,0,50,asfas3242d2,0,0,2024-04-13T12:24:41.000Z,230.1999969
661a2c335d4d6f41c3b408d7,0,0,50,asfas3242d2,0,0,2024-04-13T12:24:42.000Z,230.1999969
661a2c345d4d6f41c3b408d8,0,0,50,asfas3242d2,0,0,2024-04-13T12:24:43.000Z,230.1000061
661a2c365d4d6f41c3b408d9,0,0,50,asfas3242d2,0,0,2024-04-13T12:24:45.000Z,230.1000061
661a2c375d4d6f41c3b408da,0,0,50,asfas3242d2,0,0,2024-04-13T12:24:46.000Z,230.1000061
661a2c3a5d4d6f41c3b408db,0,0,50,asfas3242d2,0,0,2024-04-13T12:24:47.000Z,229.8999939
661a2c3a5d4d6f41c3b408dc,0,0,50,asfas3242d2,0,0,2024-04-13T12:24:48.000Z,229.8999939
661a2c3a5d4d6f41c3b408dd,0,0,50,asfas3242d2,0,0,2024-04-13T12:24:49.000Z,229.6000061
661a2c3b5d4d6f41c3b408de,0,0,50,asfas3242d2,0,0,2024-04-13T12:24:50.000Z,229.6999969
661a2c3c5d4d6f41c3b408df,0,0,50,asfas3242d2,0,0,2024-04-13T12:24:51.000Z,229.8000031
661a2c3d5d4d6f41c3b408e0,0,0,50,asfas3242d2,0,0,2024-04-13T12:24:52.000Z,229.6999969
661a2c3e5d4d6f41c3b408e1,0,0,50,asfas3242d2,0,0,2024-04-13T12:24:53.000Z,229.6999969
661a2c3f5d4d6f41c3b408e2,0,0,50,asfas3242d2,0,0,2024-04-13T12:24:54.000Z,229.6000061
661a2c405d4d6f41c3b408e3,0,0,50,asfas3242d2,0,0,2024-04-13T12:24:55.000Z,229.6000061
661a2c415d4d6f41c3b408e4,0,0,50,asfas3242d2,0,0,2024-04-13T12:24:56.000Z,229.6000061
661a2c435d4d6f41c3b408e5,0,0,50,asfas3242d2,0,0,2024-04-13T12:24:57.000Z,229.6000061
661a2c445d4d6f41c3b408e6,0,0,50,asfas3242d2,0,0,2024-04-13T12:24:59.000Z,229.6999969
661a2c455d4d6f41c3b408e7,0,0,50,asfas3242d2,0,0,2024-04-13T12:25:00.000Z,229.6999969
661a2c465d4d6f41c3b408e8,0,0,50,asfas3242d2,0,0,2024-04-13T12:25:01.000Z,229.6999969
661a2c475d4d6f41c3b408e9,0,0,50,asfas3242d2,0,0,2024-04-13T12:25:02.000Z,229.6999969
661a2c485d4d6f41c3b408ea,0,0,50,asfas3242d2,0,0,2024-04-13T12:25:03.000Z,229.6000061
661a2c495d4d6f41c3b408eb,0,0,50,asfas3242d2,0,0,2024-04-13T12:25:04.000Z,229.6000061
661a2c4a5d4d6f41c3b408ec,0,0,50,asfas3242d2,0,0,2024-04-13T12:25:05.000Z,229.6000061
661a2c4b5d4d6f41c3b408ed,0,0,50,asfas3242d2,0,0,2024-04-13T12:25:06.000Z,229.6000061
661a2c4c5d4d6f41c3b408ee,0,0,50,asfas3242d2,0,0,2024-04-13T12:25:07.000Z,229.5
661a2c4d5d4d6f41c3b408ef,0,0,50,asfas3242d2,0,0,2024-04-13T12:25:08.000Z,229.5
661a2c4e5d4d6f41c3b408f0,0,0,50,asfas3242d2,0,0,2024-04-13T12:25:09.000Z,229.5
661a2c505d4d6f41c3b408f1,0,0,50,asfas3242d2,0,0,2024-04-13T12:25:10.000Z,229.5
661a2c515d4d6f41c3b408f2,0.950999975,0,50,asfas3242d2,207.3000031,0.949999988,2024-04-13T12:25:11.000Z,228.6000061
661a2c515d4d6f41c3b408f3,0.894999981,0,50,asfas3242d2,204.6999969,1,2024-04-13T12:25:13.000Z,228.6000061
661a2c535d4d6f41c3b408f4,0.894999981,0,50,asfas3242d2,204.6999969,1,2024-04-13T12:25:14.000Z,228.6999969
661a2c545d4d6f41c3b408f5,0.894999981,0,50,asfas3242d2,204.6999969,1,2024-04-13T12:25:15.000Z,228.6999969
661a2c555d4d6f41c3b408f6,0.894999981,0,50,asfas3242d2,204.6999969,1,2024-04-13T12:25:16.000Z,228.6999969
661a2c565d4d6f41c3b408f7,0.894999981,0,50,asfas3242d2,204.8000031,1,2024-04-13T12:25:17.000Z,228.8000031
661a2c575d4d6f41c3b408f8,1.111999989,0,50,asfas3242d2,243.8999939,0.959999979,2024-04-13T12:25:18.000Z,228.5
661a2c585d4d6f41c3b408f9,1.894999981,0,50,asfas3242d2,431.6000061,1,2024-04-13T12:25:19.000Z,227.6999969
661a2c595d4d6f41c3b408fa,1.894000053,0,50,asfas3242d2,431.2000122,1,2024-04-13T12:25:20.000Z,227.6999969
661a2c5a5d4d6f41c3b408fb,1.894000053,0,50,asfas3242d2,431.3999939,1,2024-04-13T12:25:21.000Z,227.8000031
661a2c5b5d4d6f41c3b408fc,1.894000053,0,50,asfas3242d2,431.3999939,1,2024-04-13T12:25:22.000Z,227.8000031
